"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 15, 2019","2.68","2.70","2.70","2.68","320.90K","-1.47%"
"Aug 14, 2019","2.72","2.69","2.72","2.69","377.20K","0.74%"
"Aug 08, 2019","2.70","2.71","2.71","2.70","424.30K","-1.10%"
"Aug 07, 2019","2.73","2.70","2.73","2.69","3.07","1.49%"
"Aug 06, 2019","2.69","2.70","2.70","2.69","83.10K","-1.10%"
"Aug 05, 2019","2.72","2.68","2.72","2.68","184.70K","1.12%"
"Aug 04, 2019","2.69","2.72","2.72","2.69","355.20K","-1.10%"
"Aug 01, 2019","2.72","2.70","2.73","2.70","102.80K","0.37%"
"Jul 31, 2019","2.71","2.72","2.72","2.71","3.19","0.37%"
"Jul 30, 2019","2.70","2.71","2.71","2.70","545.40K","-0.74%"
"Jul 29, 2019","2.72","2.71","2.72","2.71","3.62","0.00%"
"Jul 28, 2019","2.72","2.74","2.75","2.72","900.40K","-1.09%"
"Jul 25, 2019","2.75","2.75","2.75","2.73","904.40K","1.10%"
"Jul 24, 2019","2.72","2.73","2.74","2.71","2.72","-0.37%"
"Jul 23, 2019","2.73","2.70","2.73","2.70","1.12","0.74%"
"Jul 22, 2019","2.71","2.72","2.72","2.70","2.34","-0.73%"
"Jul 21, 2019","2.73","2.72","2.73","2.72","166.40K","-0.73%"
"Jul 18, 2019","2.75","2.73","2.75","2.72","1.92","0.73%"
"Jul 17, 2019","2.73","2.73","2.75","2.73","544.40K","0.00%"
"Jul 16, 2019","2.73","2.73","2.73","2.72","636.10K","0.37%"
"Jul 15, 2019","2.72","2.75","2.75","2.71","1.02","-0.37%"
"Jul 14, 2019","2.73","2.75","2.75","2.72","299.30K","0.37%"
"Jul 11, 2019","2.72","2.72","2.75","2.71","275.60K","0.00%"
"Jul 10, 2019","2.72","2.75","2.75","2.72","653.90K","-0.73%"
"Jul 09, 2019","2.74","2.72","2.74","2.72","507.80K","-0.36%"
"Jul 08, 2019","2.75","2.69","2.79","2.69","2.80","1.85%"
"Jul 07, 2019","2.70","2.66","2.73","2.66","2.16","2.27%"
"Jul 04, 2019","2.64","2.64","2.64","2.64","14.30K","0.00%"
"Jul 03, 2019","2.64","2.63","2.64","2.62","2.76","0.00%"
"Jul 02, 2019","2.64","2.63","2.64","2.63","1.32","0.38%"
"Jul 01, 2019","2.63","2.65","2.67","2.63","1.97","-0.75%"
"Jun 30, 2019","2.65","2.67","2.68","2.65","511.50K","-0.38%"
"Jun 27, 2019","2.66","2.66","2.66","2.66","1.14","-0.75%"
"Jun 26, 2019","2.68","2.67","2.68","2.67","463.20K","-0.37%"
"Jun 25, 2019","2.69","2.66","2.69","2.66","91.90K","1.13%"
"Jun 24, 2019","2.66","2.67","2.70","2.66","1.33","-0.37%"
"Jun 23, 2019","2.67","2.70","2.70","2.67","146.40K","-1.11%"
"Jun 20, 2019","2.70","2.69","2.70","2.68","4.25","0.75%"
"Jun 19, 2019","2.68","2.69","2.70","2.68","832.30K","0.00%"
"Jun 18, 2019","2.68","2.68","2.68","2.68","11.80K","0.00%"
"Jun 17, 2019","2.68","2.69","2.69","2.68","863.10K","-0.37%"
"Jun 16, 2019","2.69","2.71","2.71","2.68","326.50K","-0.37%"
"Jun 13, 2019","2.70","2.68","2.71","2.68","3.66","1.12%"
"Jun 12, 2019","2.67","2.70","2.70","2.67","893.00K","-1.11%"
"Jun 11, 2019","2.70","2.70","2.70","2.70","133.10K","-0.37%"
"Jun 10, 2019","2.71","2.71","2.72","2.70","3.03","0.00%"
"Jun 09, 2019","2.71","2.69","2.72","2.69","511.30K","0.74%"
"May 30, 2019","2.69","2.67","2.71","2.67","664.40K","0.75%"
